CE Premiums,,B2C,,B2C Cart Link,ex.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Z-HW-Q700D/ZK,ZG-FREE1YRWAREXT,Z-HW-C450/ZK,Z-HW-S700D/ZK,ZG-FREE1YRWAREXT,Z-HW-C450/ZK,Z-WMN-B16FB/XY,Z-WMN8000SX/XY,Z-HW-Q700D/ZK,Z-WMN-B50EB/XY,Z-WMN-B16FB/XY,Z-HW-Q930D/ZK,Z-HW-Q700D/ZK,Z-WMN-B05FB/XY,Z-HW-C450/ZK,ZG-SLIMFITINCL,Select free bezel on buy page,Select free bezel on buy page,Select free bezel on buy page,Select free bezel on buy page,Select free bezel on buy page,Z-HW-Q930D/ZK,Z-WMN-B30FB/RU,Z-HW-Q930D/ZK,Z-WMN-B16FB/XY,Z-HW-Q930D/ZK,Z-WMN-B16FB/XY,Z-WMN-B16FB/XY,Z-HW-Q930D/ZK,Z-WMN-B16FB/XY,Z-WMN-B16FB/XY,Z-HW-Q930D/ZK,Z-WMN-B16FB/XY,ZG-GALAXYTI2000,Z-WMN-B16FB/XY,Z-HW-Q930D/ZK,Z-WMN-B16FB/XY,ZG-GALAXYTI2000,Z-WMN-B05FB/XY,ZG-GALAXYTI2000,ZG-GALAXYTI2000,Z-WMN8000SX/XY,Z-HW-Q930D/ZK,Z-WMN-B16FB/XY,ZG-GALAXYTI2000,Z-WMN-B16FB/XY,Z-HW-Q930D/ZK,Z-WMN-B16FB/XY,ZG-GALAXYTI2000,Z-WMN-B05FB/XY,ZG-GALAXYTI2000,Z-WMN-B16FB/XY,Z-WMN-B16FB/XY,Z-WMN8000SX/XY,Z-HW-Q930D/ZK,Z-WMN-B30FB/RU,Z-HW-Q930D/ZK,Z-WMN-B16FB/XY,ZG-GALAXYTI2000,Z-WMN-B16FB/XY,Z-ITFITEX32,ZG-SOUNDBAR1YRWAREXT,Z-ITFITEX32,ZG-SOUNDBAR1YRWAREXT,Z-SM-A3660ZKGTGY-C,Z-SM-X210NZA-TV,Z-SM-X210NZA-TV,Z-SM-A3660ZKGTGY-C,Z-RAZERBASILISKV3,Z-RAZERBWV3T,Z-RAZERGOLIATHUSC,Z-TT248MON,Z-SM-A3660ZKGTGY-C,Z-SM-A3660ZKGTGY-C,Z-RAZERKAIRAPRO,Z-SM-A3660ZKGTGY-C,Z-ITAC15-C,Z-ITFITEX37,Z-ITAC15-C,Z-ITFITEX37,Z-VS20C852CTN/SH-C,Z-VS20C852CTN/SH-C,Z-ITAC15-C,Z-ITFITEX37,Z-ITAC15-C,Z-ITFITEX37,RB34C7B4EAP/SH,RA-B23EUU12GM,RA-B23EBB12GM,Z-ITAC15-C,Z-ITFITEX37,Z-ITAC15-C,Z-ITFITEX37,Z-ITAC15-C,Z-ITAC15-C,Z-ITAC15-C,Z-ITFITAC05GN,Z-ITFITAC05GN,Z-ITFITAC05GN,Z-ITFITAC05GN,Z-ITAC15-C,Z-ITFITEX37,Z-ITFITAC05GN,Z-ITAC15-C,Z-ITAC15-C,Z-ITAC15-C,Z-ITAC15-C,Z-ITFITAC05GN,Z-ITFITAC05GN,Z-ITAC15-C,Z-ITFITEX37,Z-ITFITAC05GN,Z-ITFITAC05GN,Z-ITAC15-C,Z-ITFITEX37,Z-ITAC15-C,Z-ITFITEX37,Z-ITAC15-C,Z-ITFITEX37,Z-ITAC15-C,Z-ITFITEX37,Z-ITAC15-C,Z-ITFITEX37,Z-VCA-ADB952,Z-VCA-TABA95,Z-VCA-SAPA95/VEU,Z-VCA-ADB952,Z-VCA-WBA95/GL,Z-VCA-SAPA95/VEU,Z-VCA-MTB90A/VT,Z-VCA-ADB952,Z-VCA-TABC97/GL,Z-VCA-SAK95K/GL,Z-VCA-ADB952,Z-VCA-SPW95/VT,Z-VCA-SPA95/GL,Z-VCA-SAK95K/GL,Z-VCA-ADB952,Z-VCA-SAK95K/GL
1,2,3,4,5,6,7,,9,10,11,12,13,14,15,16,17,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case ID,Premium SKU,Premium Name,Add to Cart link,Add to Cart link,Status,Expected Count,Expected SKUs in cart,,Time,Line,Case,Premium SKU,Actual Count,Main SKU Count,Main SKU Count,Premium Result,Result,Duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEP-2,Z-HW-Q700D/ZK,1 x  Q-series Soundbar HW-Q700D,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=QA55QN95DAJXZK&&products[0].quantity=1&&products[1].productCode=QA75Q70DAJXZK&&products[1].quantity=1&&products[2].productCode=QA55S95DAJXZK&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,3,"QA55QN95DAJXZK, QA75Q70DAJXZK, QA55S95DAJXZK","
",,,,,,,,,,,QA55QN95DAJXZK,QA75Q70DAJXZK,QA55S95DAJXZK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEP-3,ZG-FREE1YRWAREXT,1 x  Free 1-year Warranty Extension Offer (designated TV models),https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=QA55QN95DAJXZK&&products[0].quantity=1&&products[1].productCode=QA55QN90DAJXZK&&products[1].quantity=1&&products[2].productCode=&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,2,"QA55QN95DAJXZK, QA55QN90DAJXZK","
",,,,,,,,,,,QA55QN95DAJXZK,QA55QN90DAJXZK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEP-4,Z-HW-C450/ZK,1 x  C-Series HW-C450 2.1ch Soundbar,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=QA50QN90DAJXZK&&products[0].quantity=1&&products[1].productCode=QA43QN90DAJXZK&&products[1].quantity=1&&products[2].productCode=QA48S90DAEXZK&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,3,"QA50QN90DAJXZK, QA43QN90DAJXZK, QA48S90DAEXZK","
",,,,,,,,,,,QA50QN90DAJXZK,QA43QN90DAJXZK,QA48S90DAEXZK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEP-5,Z-HW-S700D/ZK,1 x  S-Series HW-S700D Soundbar,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=QA55QN90DAJXZK&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1&&products[2].productCode=&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,1,QA55QN90DAJXZK,"
",,,,,,,,,,,QA55QN90DAJXZK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEP-6,Z-WMN-B16FB/XY,1 x  Full Motion Slim Wall Mount WMN-B16FB (2023),https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=QA65QN87DAJXZK&&products[0].quantity=1&&products[1].productCode=QA77S95DAJXZK&&products[1].quantity=1&&products[2].productCode=QA75QN990FJXZK&&products[2].quantity=1&&products[3].productCode=QA65QN990FJXZK&&products[3].quantity=1&&products[4].productCode=QA75QN900FJXZK&&products[4].quantity=1&&products[5].productCode=QA65QN900FJXZK&&products[5].quantity=1&&products[6].productCode=QA77S95FAJXZK&&products[6].quantity=1&&products[7].productCode=QA65S95FAJXZK&&products[7].quantity=1&&products[8].productCode=QA83S90FAEXZK&&products[8].quantity=1&&products[9].productCode=QA77S90FAEXZK&&products[9].quantity=1&&products[10].productCode=QA65QN90FAJXZK&&products[10].quantity=1&&products[11].productCode=QA83S85FAEXZK&&products[11].quantity=1&&products[12].productCode=QA77S85FAEXZK&&products[12].quantity=1&&products[13].productCode=QA65QN85FAJXZK&&products[12].quantity=1,Add to Cart,,17,"QA65QN87DAJXZK, QA77S95DAJXZK, QA75QN990FJXZK, QA65QN990FJXZK, QA75QN900FJXZK, QA65QN900FJXZK, QA77S95FAJXZK, QA65S95FAJXZK, QA83S90FAEXZK, QA77S90FAEXZK, QA65QN90FAJXZK, QA83S85FAEXZK, QA77S85FAEXZK, QA65QN85FAJXZK, QA65QN84FAJXZK, QA75QN70FAJXZK, QA65QN70FAJXZK","
",,,,,,,,,,,QA65QN87DAJXZK,QA77S95DAJXZK,QA75QN990FJXZK,QA65QN990FJXZK,QA75QN900FJXZK,QA65QN900FJXZK,QA77S95FAJXZK,QA65S95FAJXZK,QA83S90FAEXZK,QA77S90FAEXZK,QA65QN90FAJXZK,QA83S85FAEXZK,QA77S85FAEXZK,QA65QN85FAJXZK,QA65QN84FAJXZK,QA75QN70FAJXZK,QA65QN70FAJXZK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEP-7,Z-WMN8000SX/XY,1 x  TV Wall mount (WMN8000SX),https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=QA98Q80CAJXZK&&products[0].quantity=1&&products[1].productCode=QA98QN90FAJXZK&&products[1].quantity=1&&products[2].productCode=QA100QN80FJXZK&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,3,"QA98Q80CAJXZK, QA98QN90FAJXZK, QA100QN80FJXZK","
",,,,,,,,,,,QA98Q80CAJXZK,QA98QN90FAJXZK,QA100QN80FJXZK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEP-8,Z-WMN-B50EB/XY,1 x  Slim Fit Wall Mount WMN-B50EB (2023),https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=QA65Q70DAJXZK&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1&&products[2].productCode=&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,1,QA65Q70DAJXZK,"
",,,,,,,,,,,QA65Q70DAJXZK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEP-9,Z-HW-Q930D/ZK,1 x  Q-series Soundbar HW-Q930D,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=QA77S95DAJXZK&&products[0].quantity=1&&products[1].productCode=QA98QN990FJXZK&&products[1].quantity=1&&products[2].productCode=QA85QN990FJXZK&&products[2].quantity=1&&products[3].productCode=QA75QN990FJXZK&&products[3].quantity=1&&products[4].productCode=QA75QN900FJXZK&&products[4].quantity=1&&products[5].productCode=QA77S95FAJXZK&&products[5].quantity=1&&products[6].productCode=QA83S90FAEXZK&&products[6].quantity=1&&products[7].productCode=QA98QN90FAJXZK&&products[7].quantity=1&&products[8].productCode=QA83S85FAEXZK&&products[8].quantity=1&&products[9].productCode=QA100QN80FJXZK&&products[9].quantity=1&&products[10].productCode=QA85QN70FAJXZK&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,11,"QA77S95DAJXZK, QA98QN990FJXZK, QA85QN990FJXZK, QA75QN990FJXZK, QA75QN900FJXZK, QA77S95FAJXZK, QA83S90FAEXZK, QA98QN90FAJXZK, QA83S85FAEXZK, QA100QN80FJXZK, QA85QN70FAJXZK","
",,,,,,,,,,,QA77S95DAJXZK,QA98QN990FJXZK,QA85QN990FJXZK,QA75QN990FJXZK,QA75QN900FJXZK,QA77S95FAJXZK,QA83S90FAEXZK,QA98QN90FAJXZK,QA83S85FAEXZK,QA100QN80FJXZK,QA85QN70FAJXZK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEP-10,Z-WMN-B05FB/XY,1 x  Full Motion Slim Fit Wall Mount WMN-B05FB (2023),https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=QA65S90DAJXZK&&products[0].quantity=1&&products[1].productCode=QA65S90FAEXZK&&products[1].quantity=1&&products[2].productCode=QA65S85FAEXZK&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,3,"QA65S90DAJXZK, QA65S90FAEXZK, QA65S85FAEXZK","
",,,,,,,,,,,QA65S90DAJXZK,QA65S90FAEXZK,QA65S85FAEXZK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEP-11,ZG-SLIMFITINCL,1 x  Slim Fit Wall Mount included with The Frame,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=QA32LS03CBJXZK&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1&&products[2].productCode=&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,1,QA32LS03CBJXZK,"
",,,,,,,,,,,QA32LS03CBJXZK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEP-12,Select free bezel on buy page,1 x  Free Frame Bezel (non-gold),https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=QA43LS03FAJXZK&&products[0].quantity=1&&products[1].productCode=QA50LS03FAJXZK&&products[1].quantity=1&&products[2].productCode=QA55LS03FAJXZK&&products[2].quantity=1&&products[3].productCode=QA65LS03FWJXZK&&products[3].quantity=1&&products[4].productCode=QA75LS03FWJXZK&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,5,"QA43LS03FAJXZK, QA50LS03FAJXZK, QA55LS03FAJXZK, QA65LS03FWJXZK, QA75LS03FWJXZK","
",,,,,,,,,,,QA43LS03FAJXZK,QA50LS03FAJXZK,QA55LS03FAJXZK,QA65LS03FWJXZK,QA75LS03FWJXZK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEP-13,Z-WMN-B30FB/RU,1 x  Full Motion Slim Fit TV Wallmount with installation,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=QA85QN990FJXZK&&products[0].quantity=1&&products[1].productCode=QA85QN70FAJXZK&&products[1].quantity=1&&products[2].productCode=&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,2,"QA85QN990FJXZK, QA85QN70FAJXZK","
",,,,,,,,,,,QA85QN990FJXZK,QA85QN70FAJXZK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
