2024-5-22 0:0:18,CEHC-255,QA55Q60DAJXZK,"55"" QLED Q60D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),40.59999999999991
2024-5-22 0:1:1,CEHC-256,QA55QE1DAJXZK,"55"" QLED QE1D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),41.42000000000007
2024-5-22 0:1:46,CEHC-257,UA55DU8000JXZK,"55"" Crystal UHD DU8000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),42.159999999999854
2024-5-22 0:2:32,CEHC-258,UA55DU7700JXZK,"55"" Crystal UHD DU7700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),40.66000000000008
2024-5-22 0:3:16,CEHC-259,QA50Q80DAJXZK,"50"" QLED Q80D",SKU Price,8480,Passed,,,,SKU Price in Cart,8480,Passed,Trade-Up Discount,400,Passed,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,QA50Q80DAJXZK,1,Passed,Z-HW-C450/ZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,81.65000000000009
2024-5-22 0:4:39,CEHC-260,QA50Q60DAJXZK,"50"" QLED Q60D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),39.37999999999988
2024-5-22 0:5:22,CEHC-261,QA50QE1DAJXZK,"50"" QLED QE1D",SKU Price,5980,Passed,,,,SKU Price in Cart,5980,Passed,Trade-Up Discount,0,Passed,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,QA50QE1DAJXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,135.99
2024-5-22 0:7:39,CEHC-262,UA50DU8000JXZK,"50"" Crystal UHD DU8000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),40.179999999999836
2024-5-22 0:8:23,CEHC-263,UA50DU7700JXZK,"50"" Crystal UHD DU7700",SKU Price,5280,Passed,,,,SKU Price in Cart,5280,Passed,Trade-Up Discount,0,Passed,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,UA50DU7700JXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,136.0400000000002
2024-5-22 0:10:41,CEHC-264,QA43Q61DAJXZK,"43"" QLED Q61D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),39.38000000000011
2024-5-22 0:11:26,CEHC-265,QA43Q60DAJXZK,"43"" QLED Q60D",SKU Price,5980,Passed,,,,SKU Price in Cart,5980,Passed,Trade-Up Discount,0,Passed,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,QA43Q60DAJXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,134.4799999999998
2024-5-22 0:13:52,CEHC-266,UA43DU8500JXZK,"43"" Crystal UHD DU8500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),45.27999999999997
2024-5-22 0:14:27,CEHC-267,UA43DU8000JXZK,"43"" Crystal UHD DU8000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),32.51999999999998
2024-5-22 0:15:10,CEHC-268,UA43DU7700JXZK,"43"" Crystal UHD DU7700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),39.8900000000001
2024-5-22 0:15:46,CEHC-269,VS35D979FQK/SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),36.01999999999998
2024-5-22 0:16:30,CEHC-270,VS20B95993B/SH,1 x  VS20B95993BSH Bespoke Jet Plus 210W  Midnight Blue,SKU Price,6990,Passed,,,,SKU Price in Cart,6990,Passed,Trade-Up Discount,250,Passed,SC Plus Price,,,Premium Count,0,Failed,Less - Expected 1 / Actual 0,Items in Cart,VS20B95993B/SH,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed,86.13999999999987
2024-5-22 0:17:53,CEHC-271,VS20B958F3N/SP,1 x  VS20B958F3NSP Bespoke Jet Plus 210W Woody Green,SKU Price,5590,Passed,,,,SKU Price in Cart,5590,Passed,Trade-Up Discount,200,Passed,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,VS20B958F3N/SP,1,Passed,Z-VCA-ADB952,1,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,67.43000000000029
2024-5-22 0:19:4,CEHC-272,VS20B95843W/SH,1 x  VS20B95843WSH Bespoke Jet Plus 210W Misty White,SKU Price,5590,Passed,,,,SKU Price in Cart,5590,Passed,Trade-Up Discount,200,Passed,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,VS20B95843W/SH,1,Passed,Z-VCA-ADB952,1,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,72.5
2024-5-22 0:20:19,CEHC-273,VS20C852FTB/SH,1 x  VS20C852FTBSHJet85 Stick VC Midnight Blue,SKU Price,3990,Passed,,,,SKU Price in Cart,3990,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,1,Failed,Less - Expected 2 / Actual 1,Items in Cart,VS20C852FTB/SH,1,Passed,Z-ITFITSD01,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed,63.18000000000029
2024-5-22 0:21:25,CEHC-274,VS20C852CTN/SH,1 x  VS20C852CTNSH Jet85 Stick VC Woody Green1,SKU Price,3490,Passed,,,,SKU Price in Cart,3490,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,1,Failed,Less - Expected 2 / Actual 1,Items in Cart,VS20C852CTN/SH,1,Passed,Z-ITFITSD01,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed,59.84999999999991
2024-5-22 0:22:28,CEHC-275,VCA-SBTA95/VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),33.26999999999998
